["116.474050668681","39.967726482363"]
["116.479269791369","39.965469309046"]
["116.487047528257","39.957998473628"]
["116.489204885147","39.951808231937"]
["116.490470447483","39.934059723320"]
["116.489440661800","39.924592450086"]
["116.487509763738","39.867012024890"]
["116.485311260379","39.852716917619"]
["116.485283953664","39.848151721755"]
["116.481556874545","39.845100774976"]
["116.477118460316","39.840915890479"]
["116.459288456206","39.832902486088"]
["116.448230581651","39.831556848930"]
["116.436943598576","39.832663632702"]
["116.404298542184","39.832701009018"]
["116.400376409599","39.831733582825"]
["116.365330169862","39.831562265219"]
["116.346383301591","39.830328862380"]
["116.345298320992","39.831390509904"]
["116.324776784649","39.830206032536"]
["116.310296748252","39.830985357233"]
["116.279741344561","39.875014927644"]
["116.276442471848","39.875685002148"]
["116.276097250254","39.882664315216"]
["116.273698606128","39.946571197349"]
["116.274290416801","39.964233221681"]
["116.277841997910","39.970818902469"]
["116.297050251164","39.984016960010"]
["116.468942487054","40.015530290332"]
["116.443957058772","40.020188214129"]
["116.360836251863","40.022711050047"]
["116.463460980895","40.014953972288"]
["116.471988733723","40.014779044803"]
["116.480924597083","40.014381975539"]
["116.495258152564","40.003358011887"]
["116.504935216494","39.994735397719"]
["116.528600006041","39.958911629169"]
["116.529926580618","39.958449100913"]
["116.542421402713","39.942366042512"]
["116.543703355982","39.910152086933"]
